instance,mean_cost,median_cost,std_cost,best_cost,mean_time,mean_gap,best_gap,ants,max_iter,stagnation_limit,restart_after,candidate_k,ls_candidate_k,ls_top_ants,ls_frequency,alpha,beta,rho_start,rho_end,q0_start,q0_end,seed,use_local_search
ch150,6623.8,6611.0,44.47651065450166,6573.0,5.610882059973664,1.4675245098039245,0.6893382352941176,22,260,46,20,10,10,1,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6586.0,6579.0,17.618172436436193,6568.0,10.658764099981635,0.8884803921568627,0.6127450980392157,33,260,46,20,10,10,2,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6596.6,6581.0,37.18386746964334,6562.0,12.691275339992718,1.0508578431372604,0.5208333333333334,45,260,46,20,10,10,2,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6637.0,6653.0,25.179356624028344,6599.0,5.134320939984173,1.6697303921568627,1.0876225490196079,22,260,46,20,10,10,1,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6619.0,6631.0,28.347839423843222,6564.0,7.018237580009736,1.3939950980392157,0.5514705882352942,33,260,46,20,10,10,2,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6609.2,6627.0,23.58304475677388,6573.0,11.766855019982904,1.243872549019605,0.6893382352941176,45,260,46,20,10,10,2,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6648.8,6672.0,32.89620038849472,6590.0,6.292692860006355,1.8504901960784341,0.9497549019607843,22,260,46,20,10,10,1,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6627.0,6632.0,8.94427190999916,6612.0,8.75363420001231,1.5165441176470589,1.286764705882353,33,260,46,20,10,10,2,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6655.0,6666.0,27.949955277245078,6609.0,9.380324400006794,1.9454656862745099,1.2408088235294117,45,260,46,20,10,10,2,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
ch150,6612.4,6588.0,45.70601710934787,6570.0,6.331091760005802,1.2928921568627396,0.6433823529411765,22,260,46,20,10,10,2,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
