instance,mean_cost,median_cost,std_cost,best_cost,mean_time,mean_gap,best_gap,ants,max_iter,stagnation_limit,restart_after,candidate_k,ls_candidate_k,ls_top_ants,ls_frequency,alpha,beta,rho_start,rho_end,q0_start,q0_end,seed,use_local_search
d493,36887.4,36243.0,1263.6538450066141,35988.0,197.38414434001317,5.386549340037717,2.816981886749329,74,520,93,41,20,20,4,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,36859.0,36938.0,550.1014451898849,36033.0,176.36315697999672,5.305411119364607,2.945545968801783,80,520,93,41,20,20,4,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,36859.0,36938.0,550.1014451898849,36033.0,176.49645346000324,5.305411119364607,2.945545968801783,80,520,93,41,20,20,4,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37824.4,38146.0,854.9946432580732,36167.0,227.70071762001606,8.063539226329928,3.3283812353579796,74,520,93,41,20,20,4,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37808.0,38330.0,951.3941349409298,36390.0,364.2409994399874,8.016684760870808,3.965487686417919,80,520,93,41,20,20,4,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37808.0,38330.0,951.3941349409298,36390.0,368.337288060016,8.016684760870808,3.965487686417919,80,520,93,41,20,20,4,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37237.0,36503.0,1188.7580073337047,36158.0,337.6554106800351,6.385349408605222,3.302668418947489,74,520,93,41,20,20,4,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37681.0,37894.0,975.552971396223,36355.0,381.5821642399766,7.65384835152277,3.8654934003771215,80,520,93,41,20,20,4,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37681.0,37894.0,975.552971396223,36355.0,379.36359739997425,7.65384835152277,3.8654934003771215,80,520,93,41,20,20,4,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,36923.4,36243.0,1253.383995429972,35965.0,436.71368907997385,5.48940060567968,2.7512713559225186,74,520,93,41,20,20,7,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,36859.0,36938.0,550.1014451898849,36033.0,445.98228237996807,5.305411119364607,2.945545968801783,80,520,93,41,20,20,8,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,36859.0,36938.0,550.1014451898849,36033.0,445.1721095799934,5.305411119364607,2.945545968801783,80,520,93,41,20,20,8,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,38112.8,38146.0,328.21602642162367,37609.0,302.9470273000188,8.887492143306105,7.448145820238843,74,520,93,41,20,20,7,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37400.6,37147.0,896.8100356262746,36308.0,2609.0464672399917,6.852751271355919,3.731215359122336,80,520,93,41,20,20,8,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37400.6,37147.0,896.8100356262746,36308.0,168.2272124199895,6.852751271355919,3.731215359122336,80,520,93,41,20,20,8,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37178.4,36503.0,1239.4822467466001,35998.0,175.67616235997994,6.217930403976919,2.845551682760985,74,520,93,41,20,20,7,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37671.6,37894.0,988.4259405742041,36308.0,168.10859593998174,7.62699274327181,3.731215359122336,80,520,93,41,20,20,8,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,37671.6,37894.0,988.4259405742041,36308.0,167.91516588001977,7.62699274327181,3.731215359122336,80,520,93,41,20,20,8,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,36866.8,36350.0,1258.4282895739432,35965.0,208.38854861999863,5.327695560253708,2.7512713559225186,74,520,93,41,20,20,15,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,36748.2,36901.0,468.66252250420024,36033.0,208.7753487000009,4.988857779555445,2.945545968801783,80,520,93,41,20,20,16,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
d493,36748.2,36901.0,468.66252250420024,36033.0,209.14074845998547,4.988857779555445,2.945545968801783,80,520,93,41,20,20,16,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
