instance,mean_cost,median_cost,std_cost,best_cost,mean_time,mean_gap,best_gap,ants,max_iter,stagnation_limit,restart_after,candidate_k,ls_candidate_k,ls_top_ants,ls_frequency,alpha,beta,rho_start,rho_end,q0_start,q0_end,seed,use_local_search
eil76,545.4,544.0,4.758150901348127,539.0,1.2733488600002603,1.3754646840148657,0.18587360594795538,11,220,39,17,10,10,1,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,542.6,540.0,4.127953488110059,539.0,1.9327982199611142,0.855018587360599,0.18587360594795538,17,220,39,17,10,10,1,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,545.8,545.0,2.039607805437114,543.0,2.5889233600115404,1.4498141263940436,0.929368029739777,23,220,39,17,10,10,1,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,549.8,550.0,2.7129319932501077,546.0,1.3766612000064924,2.1933085501858653,1.486988847583643,11,220,39,17,10,10,1,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,543.4,544.0,2.5768197453450252,539.0,2.1345710399793463,1.0037174721189548,0.18587360594795538,17,220,39,17,10,10,1,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,547.8,549.0,6.794115100585212,539.0,2.5206605799961834,1.8215613382899545,0.18587360594795538,23,220,39,17,10,10,1,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,552.6,556.0,5.043808085167397,546.0,1.0320070000365376,2.7137546468401528,1.486988847583643,11,220,39,17,10,10,1,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,553.6,554.0,5.238320341483518,546.0,1.6805784800089896,2.899628252788108,1.486988847583643,17,220,39,17,10,10,1,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,548.0,549.0,3.9496835316262997,542.0,2.444024819950573,1.858736059479554,0.7434944237918215,23,220,39,17,10,10,1,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,545.4,544.0,4.758150901348127,539.0,1.1978903400246055,1.3754646840148657,0.18587360594795538,11,220,39,17,10,10,1,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,542.0,543.0,2.756809750418044,538.0,1.7581951999571175,0.7434944237918215,0.0,17,220,39,17,10,10,2,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,543.4,543.0,2.4166091947189146,540.0,2.8440058000152932,1.0037174721189548,0.37174721189591076,23,220,39,17,10,10,2,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,549.8,550.0,2.7129319932501077,546.0,1.4433842200087383,2.1933085501858653,1.486988847583643,11,220,39,17,10,10,1,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,542.6,544.0,2.4979991993593593,538.0,2.235490779997781,0.855018587360599,0.0,17,220,39,17,10,10,2,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,550.6,549.0,3.7735924528226414,546.0,2.3260177600197496,2.342007434944242,1.486988847583643,23,220,39,17,10,10,2,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,552.6,556.0,5.043808085167397,546.0,1.077237920020707,2.7137546468401528,1.486988847583643,11,220,39,17,10,10,1,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,550.8,551.0,3.1874754901018454,546.0,1.9728605999844149,2.3791821561338207,1.486988847583643,17,220,39,17,10,10,2,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,547.6,546.0,3.8781438859330635,542.0,2.9939823999768125,1.784386617100376,0.7434944237918215,23,220,39,17,10,10,2,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,545.2,546.0,1.469693845669907,543.0,1.3454762400127946,1.3382899628252873,0.929368029739777,11,220,39,17,10,10,2,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,544.0,543.0,1.6733200530681511,542.0,1.954330539982766,1.1152416356877324,0.7434944237918215,17,220,39,17,10,10,3,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,543.4,543.0,3.006659275674582,540.0,2.7439434200059623,1.0037174721189548,0.37174721189591076,23,220,39,17,10,10,5,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,545.6,546.0,2.65329983228432,542.0,1.3868509600171819,1.4126394052044653,0.7434944237918215,11,220,39,17,10,10,2,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,542.6,544.0,2.4979991993593593,538.0,2.2914874600013717,0.855018587360599,0.0,17,220,39,17,10,10,3,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,547.0,548.0,5.656854249492381,540.0,2.57730570002459,1.6728624535315986,0.37174721189591076,23,220,39,17,10,10,5,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,551.2,554.0,6.615134163416491,541.0,1.30972090002615,2.4535315985130195,0.5576208178438662,11,220,39,17,10,10,2,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,551.0,551.0,3.22490309931942,546.0,2.0237648799782617,2.41635687732342,1.486988847583643,17,220,39,17,10,10,3,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,546.6,546.0,3.2,542.0,2.564822080009617,1.5985130111524206,0.7434944237918215,23,220,39,17,10,10,5,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,546.4,548.0,2.870540018881465,542.0,1.1386591600021347,1.561338289962821,0.7434944237918215,11,220,39,17,15,10,1,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
eil76,548.4,548.0,5.535341001239218,539.0,1.8855930999852717,1.9330855018587318,0.18587360594795538,17,220,39,17,15,10,1,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
