instance,mean_cost,median_cost,std_cost,best_cost,mean_time,mean_gap,best_gap,ants,max_iter,stagnation_limit,restart_after,candidate_k,ls_candidate_k,ls_top_ants,ls_frequency,alpha,beta,rho_start,rho_end,q0_start,q0_end,seed,use_local_search
rat195,2363.2,2366.0,10.703270528207721,2346.0,12.87613435999956,1.730520878174766,0.9900990099009901,29,320,57,25,10,10,1,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2349.2,2345.0,11.21427661510095,2337.0,27.784774860017933,1.1278519156263374,0.6026689625484287,43,320,57,25,10,10,2,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2346.2,2347.0,5.418486873657627,2338.0,30.5271722599864,0.998708566508817,0.6457167455876023,58,320,57,25,10,10,3,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2374.6,2378.0,12.893409169028958,2352.0,12.531126880017109,2.221265604821348,1.248385708136031,29,320,57,25,10,10,1,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2354.0,2353.0,5.549774770204643,2346.0,22.65691675997805,1.334481274214378,0.9900990099009901,43,320,57,25,10,10,2,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2353.0,2356.0,9.633275663033837,2338.0,28.596854500006884,1.2914334911752046,0.6457167455876023,58,320,57,25,10,10,3,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2376.2,2381.0,10.979981785048645,2362.0,14.835447999997996,2.2901420576840215,1.678863538527766,29,320,57,25,10,10,1,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2382.2,2382.0,23.886397802933786,2356.0,23.18814024000894,2.5484287559190624,1.420576840292725,43,320,57,25,10,10,2,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2368.8,2368.0,19.13530767978399,2338.0,24.711986460001206,1.9715884631941534,0.6457167455876023,58,320,57,25,10,10,3,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2353.2,2357.0,9.826494797230598,2338.0,17.431952679972163,1.3000430477830314,0.6457167455876023,29,320,57,25,10,10,3,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2347.0,2347.0,7.26636084983398,2339.0,27.655800740025008,1.0331467929401636,0.6887645286267757,43,320,57,25,10,10,4,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
rat195,2345.2,2342.0,7.884161337770808,2336.0,32.22970567999873,0.9556607834696434,0.5596211795092553,58,320,57,25,10,10,6,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
