instance,mean_cost,median_cost,std_cost,best_cost,mean_time,mean_gap,best_gap,ants,max_iter,stagnation_limit,restart_after,candidate_k,ls_candidate_k,ls_top_ants,ls_frequency,alpha,beta,rho_start,rho_end,q0_start,q0_end,seed,use_local_search
u574,38859.8,38650.0,598.4494631963505,38169.0,237.0911603800254,5.296843246172613,3.4250101612247663,64,520,93,41,20,20,4,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,38859.8,38650.0,598.4494631963505,38169.0,235.55969295999967,5.296843246172613,3.4250101612247663,64,520,93,41,20,20,4,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,38859.8,38650.0,598.4494631963505,38169.0,235.74255827998277,5.296843246172613,3.4250101612247663,64,520,93,41,20,20,4,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,39167.2,39188.0,911.411520664513,37969.0,222.17091921998653,6.12979271101476,2.883078173689202,64,520,93,41,20,20,4,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,39167.2,39188.0,911.411520664513,37969.0,222.44008271999192,6.12979271101476,2.883078173689202,64,520,93,41,20,20,4,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,39167.2,39188.0,911.411520664513,37969.0,222.68424662002363,6.12979271101476,2.883078173689202,64,520,93,41,20,20,4,2,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,39232.8,39165.0,485.1290137685026,38574.0,219.473691420001,6.307546402926441,4.522422435984284,64,520,93,41,20,20,4,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,39232.8,39165.0,485.1290137685026,38574.0,219.06726929999422,6.307546402926441,4.522422435984284,64,520,93,41,20,20,4,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,39232.8,39165.0,485.1290137685026,38574.0,219.1551554400008,6.307546402926441,4.522422435984284,64,520,93,41,20,20,4,5,1.0,3.5,0.15,0.08,0.6,0.92,42,True
u574,38842.4,38585.0,608.5348305561482,38147.0,247.1743557800306,5.249695163257015,3.365397642595854,64,520,93,41,20,20,8,1,1.0,3.5,0.15,0.08,0.6,0.92,42,True
